loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,repaid,total_return,loan_term_year,annual_return
15000,15000,36 months,9.91,483.38,B,B1,MORTGAGE,92000.0,Verified,Fully Paid,credit_card,IL,29.44,0.0,Feb-2002,0.0,8.0,0.0,13707,1,0.05493326996099346,3,0.017985666430430536
15000,15000,36 months,14.27,514.64,C,C2,RENT,60000.0,Not Verified,Charged Off,debt_consolidation,NY,15.22,0.0,Oct-2003,1.0,7.0,0.0,5872,0,-1.0,3,-1.0
4000,4000,36 months,11.71,132.31,B,B3,MORTGAGE,106000.0,Not Verified,Fully Paid,debt_consolidation,FL,5.63,1.0,Aug-1984,0.0,12.0,0.0,6110,1,0.12157337975174998,3,0.03898488837177205
4375,4375,36 months,7.51,136.11,A,A3,MORTGAGE,17108.0,Source Verified,Fully Paid,debt_consolidation,NY,20.34,0.0,Dec-1987,0.0,6.0,0.0,11210,1,0.11999085704704004,3,0.03849599448578611
31825,31825,36 months,7.9,995.82,A,A4,MORTGAGE,75000.0,Verified,Fully Paid,debt_consolidation,NJ,14.03,0.0,Nov-1981,0.0,12.0,0.0,23151,1,0.09621095920631895,3,0.031093493919105653
10000,10000,60 months,15.96,242.97,C,C5,RENT,29120.0,Verified,Fully Paid,debt_consolidation,FL,22.83,0.0,Feb-1997,1.0,11.0,0.0,16158,1,0.4577218853757401,5,0.0782884040437073
7000,7000,36 months,15.96,245.97,C,C5,RENT,34000.0,Source Verified,Fully Paid,credit_card,CA,6.35,0.0,Oct-2007,1.0,6.0,0.0,6113,1,0.26493000050338567,3,0.08148914390162365
10800,10800,36 months,9.91,348.03,B,B1,RENT,55596.0,Source Verified,Fully Paid,moving,CA,5.5,0.0,Dec-2000,0.0,7.0,0.0,2535,1,0.1258506361364351,3,0.040303977999309515
12500,12500,60 months,12.69,282.44,B,B5,RENT,27000.0,Verified,Fully Paid,debt_consolidation,IL,16.04,0.0,Dec-2001,3.0,6.0,0.0,10143,1,0.3556700762036402,5,0.06274923737003335
12000,12000,36 months,7.9,375.49,A,A4,RENT,62300.0,Not Verified,Fully Paid,debt_consolidation,NJ,16.7,0.0,Mar-1994,0.0,15.0,0.0,8601,1,0.12644666641452518,3,0.0404875261130766
10000,10000,36 months,10.65,325.74,B,B2,RENT,27000.0,Verified,Fully Paid,other,NY,11.47,0.0,Nov-2006,0.0,7.0,0.0,7814,1,0.1726320000000301,3,0.05451779735054352
15000,15000,36 months,9.91,483.38,B,B1,MORTGAGE,80000.0,Not Verified,Charged Off,debt_consolidation,IL,9.12,0.0,Apr-1992,2.0,9.0,0.0,11845,0,0.09337200000000001,3,0.03020261825944326
25600,25600,36 months,9.91,824.96,B,B1,RENT,110000.0,Verified,Fully Paid,credit_card,CA,15.71,0.0,Jul-1999,0.0,11.0,0.0,26088,1,0.1600980468750357,3,0.050747176990634024
7000,7000,36 months,10.65,228.02,B,B2,RENT,40000.0,Not Verified,Fully Paid,debt_consolidation,CA,7.38,0.0,Apr-2004,0.0,7.0,0.0,12168,1,0.17263000041408572,3,0.0545171979581327
12000,12000,36 months,15.96,421.65,C,C5,RENT,50000.0,Not Verified,Charged Off,car,CA,20.88,0.0,Oct-2006,2.0,11.0,0.0,15793,0,-0.6566225,3,-0.29974329143226075
12000,12000,36 months,9.91,386.7,B,B1,RENT,46000.0,Not Verified,Fully Paid,credit_card,TX,8.11,0.0,May-2000,1.0,11.0,0.0,12143,1,0.14592872822641656,3,0.0464517350931517
10000,10000,36 months,10.65,325.74,B,B2,RENT,51400.0,Not Verified,Fully Paid,credit_card,TX,19.14,0.0,Oct-2000,3.0,10.0,0.0,10160,1,0.05764341135188,3,0.018856661779533823
7100,7100,36 months,16.77,252.33,D,D2,MORTGAGE,33000.0,Verified,Fully Paid,debt_consolidation,TX,24.0,0.0,Apr-2007,2.0,4.0,0.0,6021,1,0.2793704231777465,3,0.08558900344237563
13000,13000,60 months,12.69,293.74,B,B5,MORTGAGE,30000.0,Source Verified,Fully Paid,debt_consolidation,NJ,13.72,0.0,May-2002,0.0,17.0,0.0,17080,1,0.33863384513823847,5,0.06006466933470955
17500,8950,60 months,17.27,223.74,D,D3,RENT,40000.0,Verified,Fully Paid,small_business,CA,19.47,0.0,May-2006,1.0,5.0,0.0,10724,1,0.47788826896863745,5,0.08125547703205704
16425,16425,36 months,14.27,563.53,C,C2,RENT,44544.0,Source Verified,Fully Paid,debt_consolidation,CA,22.71,0.0,Oct-2002,1.0,10.0,0.0,15747,1,0.10653447852382958,3,0.034320145534491475
8200,8200,60 months,21.28,223.14,F,F2,RENT,75000.0,Source Verified,Charged Off,small_business,CA,12.48,0.0,Jan-2000,3.0,6.0,0.0,9012,0,-0.4435926829268293,5,-0.11063800569562876
15000,15000,36 months,14.65,517.42,C,C3,OWN,61000.0,Verified,Fully Paid,credit_card,FL,11.88,0.0,Jun-2004,1.0,8.0,0.0,19397,1,0.23767653600392014,3,0.07366563437254037
6400,6400,36 months,16.77,227.45,D,D2,RENT,75000.0,Not Verified,Charged Off,debt_consolidation,CA,20.22,0.0,Dec-1994,0.0,9.0,0.0,7159,0,-0.25207187500000006,3,-0.09227710777393561
14400,14400,36 months,8.9,457.25,A,A5,OWN,150000.0,Source Verified,Fully Paid,debt_consolidation,NY,14.85,0.0,Dec-1994,0.0,12.0,0.0,63864,1,0.14311458321861115,3,0.045594415670907384
12000,12000,36 months,14.65,413.94,C,C3,RENT,90000.0,Not Verified,Fully Paid,debt_consolidation,NJ,16.56,0.0,Dec-1984,2.0,12.0,0.0,17116,1,0.05830933407509997,3,0.01907045073981073
11000,11000,36 months,13.49,373.24,C,C1,MORTGAGE,48000.0,Verified,Fully Paid,debt_consolidation,TX,21.82,0.0,Dec-1999,3.0,15.0,0.0,11382,1,0.21984363664881834,3,0.06848407822867597
7250,7200,60 months,21.67,197.51,F,F3,RENT,75000.0,Verified,Fully Paid,debt_consolidation,CA,24.82,0.0,May-2000,2.0,9.0,1.0,21706,1,0.13955195682743038,5,0.02647133588918371
15000,15000,36 months,7.9,469.36,A,A4,MORTGAGE,52000.0,Not Verified,Fully Paid,small_business,TX,9.65,0.0,Nov-2003,1.0,11.0,0.0,1616,1,0.03717867228187344,3,0.01224240272040733
18000,18000,60 months,19.91,475.99,E,E4,MORTGAGE,65000.0,Not Verified,Fully Paid,debt_consolidation,FL,6.81,0.0,Jun-1989,0.0,10.0,0.0,11745,1,0.4463700012947027,5,0.07660373246277885
35000,22075,60 months,17.27,551.84,D,D3,MORTGAGE,150000.0,Verified,Fully Paid,home_improvement,NY,7.51,0.0,Jun-2003,1.0,11.0,0.0,7334,1,0.3085889045545369,5,0.05526284376822255
11800,11800,36 months,12.69,395.83,B,B5,RENT,42000.0,Source Verified,Fully Paid,credit_card,NY,9.86,0.0,Oct-1996,0.0,4.0,0.0,8940,1,0.2076135599237967,3,0.0649012258747288
4500,4500,36 months,6.03,136.96,A,A1,RENT,53000.0,Source Verified,Fully Paid,major_purchase,CA,4.44,0.0,Oct-2000,0.0,7.0,0.0,8630,1,0.09567908696197791,3,0.030926707673972986
7000,7000,36 months,12.69,234.82,B,B5,RENT,35000.0,Source Verified,Fully Paid,credit_card,CA,11.35,0.0,May-2000,2.0,10.0,0.0,7649,1,0.20760857161497137,3,0.06489975960448202
9200,9200,36 months,12.42,307.43,B,B4,RENT,60000.0,Source Verified,Fully Paid,debt_consolidation,CA,19.96,0.0,Oct-2002,3.0,8.0,0.0,23299,1,0.13943955317070644,3,0.04447270946991044
4500,4500,60 months,10.65,97.06,B,B2,MORTGAGE,42000.0,Source Verified,Fully Paid,car,TX,5.4,0.0,Feb-1983,0.0,4.0,0.0,8220,1,0.09126085680064455,5,0.01762019122857006
12000,12000,36 months,13.49,407.17,C,C1,RENT,72000.0,Source Verified,Fully Paid,debt_consolidation,CA,21.33,0.0,May-2003,1.0,11.0,0.0,3419,1,0.16591010971870013,3,0.05249899393947732
12000,12000,36 months,10.65,390.88,B,B2,RENT,62000.0,Verified,Fully Paid,credit_card,TX,23.94,0.0,Jun-2002,0.0,10.0,0.0,20310,1,0.06500603241279168,3,0.02121540125105259
8200,8200,60 months,19.42,214.62,E,E3,RENT,120000.0,Source Verified,Fully Paid,debt_consolidation,NY,2.8,0.0,Jun-2007,2.0,5.0,0.0,10392,1,0.45237195271130504,5,0.07749576207111608
10500,10500,36 months,12.69,352.23,B,B5,RENT,66000.0,Verified,Fully Paid,medical,CA,20.73,1.0,Sep-1998,2.0,8.0,0.0,5790,1,0.0698399437677335,3,0.02275812016912515
7000,7000,36 months,11.71,231.54,B,B3,OWN,39120.0,Not Verified,Fully Paid,debt_consolidation,FL,21.01,0.0,Dec-1996,0.0,8.0,1.0,9414,1,0.13342337468852827,3,0.04263121173978068
3500,3500,36 months,6.03,106.53,A,A1,MORTGAGE,83000.0,Verified,Fully Paid,car,IL,2.31,0.0,Jan-1986,0.0,6.0,0.0,3092,1,0.09567376317051424,3,0.030925037949154133
6200,6200,36 months,9.91,199.8,B,B1,RENT,25000.0,Not Verified,Charged Off,debt_consolidation,CA,20.64,0.0,May-1998,2.0,7.0,0.0,6533,0,-0.5614983870967742,3,-0.2402738677772095
6000,6000,36 months,8.9,190.52,A,A5,OWN,28800.0,Not Verified,Fully Paid,debt_consolidation,NJ,13.17,0.0,Jul-2005,0.0,11.0,0.0,5269,1,0.1431166668813002,3,0.04559505097168426
7200,7200,36 months,9.91,232.02,B,B1,RENT,135000.0,Not Verified,Fully Paid,credit_card,NY,6.12,0.0,Jan-1997,0.0,7.0,0.0,16627,1,0.16009861080719445,3,0.050747347249239905
9500,9500,36 months,8.9,301.66,A,A5,MORTGAGE,50000.0,Not Verified,Fully Paid,credit_card,TX,8.18,0.0,Jun-2005,0.0,8.0,0.0,13422,1,0.10482329037303151,3,0.03378669943102475
18825,18825,60 months,16.77,465.53,D,D2,RENT,38000.0,Verified,Charged Off,debt_consolidation,TX,23.18,0.0,Dec-2004,0.0,6.0,0.0,11004,0,0.20180823373173973,5,0.037449665548784594
24000,24000,36 months,10.65,781.76,B,B2,RENT,45000.0,Verified,Fully Paid,debt_consolidation,CA,14.8,0.0,Feb-1990,0.0,5.0,0.0,24708,1,0.17263541701196683,3,0.054518821626531544
6000,6000,36 months,13.49,203.59,C,C1,RENT,80000.0,Not Verified,Fully Paid,debt_consolidation,CA,11.58,0.0,Feb-2002,0.0,8.0,0.0,15499,1,0.2214866669324833,3,0.06896358342631426
26800,26800,60 months,20.89,723.38,F,F1,MORTGAGE,120000.0,Verified,Fully Paid,debt_consolidation,FL,12.15,0.0,May-2006,0.0,13.0,0.0,14772,1,0.22745757211761553,5,0.04184064849065905
8000,8000,36 months,12.69,268.36,B,B5,MORTGAGE,35000.0,Not Verified,Fully Paid,debt_consolidation,IL,10.05,0.0,Oct-2002,0.0,7.0,0.0,6842,1,0.12501790366032495,3,0.04004742869879063
10000,10000,36 months,18.25,362.78,D,D5,RENT,75000.0,Source Verified,Charged Off,credit_card,CA,24.14,0.0,Mar-1997,0.0,9.0,0.0,22828,0,0.1959659999999921,3,0.06146646440002779
10000,10000,36 months,8.9,317.54,A,A5,RENT,24000.0,Verified,Fully Paid,debt_consolidation,CA,7.0,0.0,Jan-2000,0.0,6.0,0.0,6734,1,0.08693305480180014,3,0.028176323296293937
10000,10000,36 months,7.9,312.91,A,A4,RENT,43000.0,Not Verified,Fully Paid,debt_consolidation,CA,25.26,0.0,Jun-2003,0.0,8.0,0.0,8215,1,0.12644800000004008,3,0.04048793671945128
12000,12000,36 months,9.91,386.7,B,B1,RENT,50000.0,Not Verified,Fully Paid,debt_consolidation,CA,16.44,0.0,Jan-2000,1.0,11.0,0.0,14335,1,0.1600983331412167,3,0.05074726341820157
10000,10000,36 months,9.91,322.25,B,B1,RENT,31200.0,Source Verified,Fully Paid,debt_consolidation,NY,14.81,0.0,Oct-2005,0.0,13.0,0.0,5540,1,0.09048390256438998,3,0.029294739048852714
28000,11800,60 months,19.91,312.04,E,E4,RENT,52000.0,Verified,Charged Off,debt_consolidation,TX,20.7,0.0,Dec-1988,0.0,10.0,0.0,29178,0,0.29845169491525425,5,0.0536227987836575
18000,18000,36 months,7.9,563.23,A,A4,RENT,56964.0,Source Verified,Fully Paid,debt_consolidation,CA,27.55,0.0,Feb-1999,0.0,7.0,0.0,17381,1,0.126447794176078,3,0.04048787334698534
2500,2500,36 months,14.27,85.78,C,C2,RENT,49500.0,Source Verified,Fully Paid,debt_consolidation,FL,10.33,0.0,Nov-2004,1.0,7.0,0.0,9868,1,0.011960833333320098,3,0.003971153509136904
35000,35000,36 months,8.9,1111.37,A,A5,MORTGAGE,125000.0,Verified,Fully Paid,debt_consolidation,CA,22.71,0.0,Aug-2000,0.0,8.0,0.0,9051,1,0.14311457114252035,3,0.04559441198895131
10000,10000,36 months,7.51,311.11,A,A3,RENT,33000.0,Not Verified,Fully Paid,credit_card,NJ,9.75,0.0,Oct-2004,1.0,9.0,0.0,68,1,0.1028357497108301,3,0.033166411263577
24000,24000,36 months,15.96,843.3,C,C5,MORTGAGE,90000.0,Source Verified,Charged Off,home_improvement,CA,9.17,0.0,Jun-1995,1.0,9.0,0.0,30952,0,-0.7537283333333333,3,-0.3731867766445375
6000,6000,36 months,11.71,198.46,B,B3,RENT,90000.0,Not Verified,Fully Paid,credit_card,NJ,2.97,1.0,May-2007,0.0,10.0,0.0,8489,1,0.17365193204001672,3,0.0548234416368103
10000,10000,60 months,12.69,225.95,B,B5,MORTGAGE,56000.0,Source Verified,Fully Paid,debt_consolidation,CA,10.82,0.0,Apr-2000,1.0,11.0,0.0,10081,1,0.2739069999999899,5,0.04960899721330336
14000,14000,36 months,14.27,480.33,C,C2,RENT,52800.0,Not Verified,Fully Paid,debt_consolidation,CA,7.36,0.0,Feb-2005,1.0,9.0,0.0,13378,1,0.03487616586605724,3,0.011492798204947086
13500,13500,36 months,9.91,435.04,B,B1,RENT,38000.0,Verified,Fully Paid,debt_consolidation,CA,12.38,0.0,May-1997,1.0,3.0,0.0,16023,1,0.1599263305470371,3,0.05069533098489565
6000,6000,36 months,10.65,195.44,B,B2,MORTGAGE,87000.0,Not Verified,Fully Paid,home_improvement,NJ,12.86,2.0,Mar-2000,0.0,12.0,0.0,11739,1,0.16670542131391652,3,0.05273825606547655
8450,8450,60 months,16.77,208.97,D,D2,OWN,25000.0,Verified,Fully Paid,debt_consolidation,IL,22.51,0.0,Mar-2004,2.0,6.0,0.0,17614,1,0.44452307821276915,5,0.07632864093194325
10000,10000,36 months,11.71,330.76,B,B3,RENT,60000.0,Not Verified,Charged Off,debt_consolidation,CA,22.08,0.0,Jul-2001,0.0,8.0,0.0,5626,0,-0.36780100000000004,3,-0.1417418526074622
13475,13475,60 months,13.49,309.99,C,C1,RENT,25000.0,Verified,Charged Off,credit_card,CA,21.89,0.0,Dec-2001,1.0,7.0,0.0,9943,0,-0.5398359925788497,5,-0.1437855966795325
7200,7200,36 months,12.42,240.59,B,B4,RENT,48000.0,Not Verified,Fully Paid,major_purchase,IL,17.43,0.0,Sep-2006,1.0,7.0,0.0,16450,1,0.20522835284286112,3,0.06419965373861891
12000,12000,36 months,14.27,411.71,C,C2,RENT,57000.0,Verified,Fully Paid,debt_consolidation,CA,10.86,0.0,Aug-1998,1.0,7.0,0.0,9273,1,0.2001329772421585,3,0.06269782034552862
15000,15000,36 months,17.27,536.81,D,D3,MORTGAGE,44400.0,Source Verified,Fully Paid,house,FL,3.59,1.0,Jun-1983,0.0,6.0,1.0,4582,1,0.19964754991559341,3,0.06255452174474274
10000,10000,36 months,6.62,307.04,A,A2,MORTGAGE,70000.0,Not Verified,Fully Paid,credit_card,NY,16.78,0.0,Aug-1994,0.0,9.0,0.0,10770,1,0.09034743024262015,3,0.029251799059007766
8000,8000,36 months,14.65,275.96,C,C3,RENT,28000.0,Not Verified,Fully Paid,car,CA,12.6,0.0,Sep-2006,1.0,8.0,0.0,6187,1,0.07962690057911259,3,0.025867407910305174
6000,6000,36 months,14.27,205.86,C,C2,MORTGAGE,94800.0,Verified,Fully Paid,car,TX,24.53,0.0,Mar-1986,1.0,13.0,0.0,71890,1,0.2029245908500168,3,0.06352115811956405
16000,16000,60 months,9.91,339.25,B,B1,OWN,40000.0,Verified,Fully Paid,debt_consolidation,FL,9.39,0.0,Jun-1993,1.0,6.0,0.0,13270,1,0.2630662500019376,5,0.047816483387419506
2500,2500,36 months,7.51,77.78,A,A3,OWN,12000.0,Source Verified,Charged Off,debt_consolidation,CA,16.3,0.0,Aug-1994,2.0,13.0,0.0,4853,0,-0.260416,3,-0.0956653547929166
25000,25000,36 months,12.42,835.39,B,B4,RENT,225000.0,Verified,Fully Paid,debt_consolidation,NJ,8.32,1.0,Jul-2004,0.0,11.0,0.0,30449,1,0.20294720000007205,3,0.06352782109162125
10000,10000,36 months,13.49,339.31,C,C1,RENT,45900.0,Verified,Fully Paid,small_business,CA,24.97,0.0,Oct-2004,2.0,10.0,0.0,8936,1,0.21776254400065986,3,0.06787610957536883
7325,7325,36 months,12.69,245.72,B,B5,RENT,42000.0,Not Verified,Fully Paid,debt_consolidation,FL,22.57,0.0,May-1996,3.0,12.0,0.0,7281,1,0.20761092156398653,3,0.06490045035217884
4000,4000,36 months,12.42,133.67,B,B4,RENT,135000.0,Verified,Fully Paid,credit_card,NY,12.12,0.0,Jan-2004,3.0,11.0,0.0,29311,1,0.08435630634877489,3,0.027363194995836615
10000,10000,36 months,13.49,339.31,C,C1,RENT,65000.0,Not Verified,Charged Off,small_business,CA,6.92,1.0,Dec-1999,2.0,12.0,0.0,14292,0,-0.02696299999999996,3,-0.009069677020273392
7750,7750,36 months,17.27,277.36,D,D3,RENT,24000.0,Not Verified,Charged Off,debt_consolidation,IL,16.1,0.0,Sep-2004,1.0,4.0,0.0,2348,0,-0.10375354838709683,3,-0.035854712038722814
20000,20000,60 months,20.89,539.84,F,F1,RENT,70000.0,Source Verified,Charged Off,debt_consolidation,FL,16.63,0.0,Nov-2002,1.0,10.0,0.0,10470,0,-0.6748645,5,-0.2012463088098546
9600,9600,36 months,12.42,320.79,B,B4,RENT,65000.0,Verified,Fully Paid,debt_consolidation,NY,11.65,0.0,Aug-2002,0.0,6.0,0.0,11279,1,0.18112673699110116,3,0.05705803937742693
21000,21000,60 months,11.71,464.07,B,B3,RENT,60000.0,Not Verified,Charged Off,debt_consolidation,CA,6.62,0.0,Dec-1990,0.0,7.0,0.0,10543,0,-0.8230057142857143,5,-0.2927192321207651
13350,13350,36 months,12.42,446.1,B,B4,RENT,43000.0,Not Verified,Fully Paid,debt_consolidation,CA,20.57,0.0,May-1999,0.0,7.0,0.0,11531,1,0.20294906381241207,3,0.06352837035797121
15000,15000,36 months,17.27,536.81,D,D3,RENT,75000.0,Source Verified,Charged Off,debt_consolidation,CA,16.03,0.0,Mar-1991,0.0,10.0,0.0,13505,0,-0.318964,3,-0.12018771221422897
11000,11000,60 months,13.49,253.06,C,C1,MORTGAGE,129000.0,Verified,Fully Paid,debt_consolidation,CA,10.94,0.0,Nov-1997,0.0,10.0,0.0,1735,1,0.3747063651349092,5,0.06571723345892311
35000,35000,36 months,10.65,1140.07,B,B2,MORTGAGE,168000.0,Verified,Fully Paid,debt_consolidation,TX,3.17,1.0,Dec-2002,1.0,16.0,0.0,1099,1,0.08747156789692845,3,0.02834609609476213
16000,16000,36 months,12.69,536.72,B,B5,RENT,58500.0,Source Verified,Charged Off,debt_consolidation,IL,20.64,0.0,Sep-1994,0.0,8.0,0.0,26224,0,-0.23086312500000006,3,-0.08377695478482572
12000,12000,36 months,10.65,390.88,B,B2,RENT,60000.0,Not Verified,Fully Paid,credit_card,CA,10.84,0.0,Jun-2002,1.0,12.0,0.0,11849,1,0.17263583314344144,3,0.054518946365051724
8400,8400,60 months,16.77,207.73,D,D2,RENT,87996.0,Not Verified,Fully Paid,major_purchase,NY,11.35,0.0,Sep-2003,0.0,8.0,0.0,9551,1,0.46317143028473806,5,0.07909341545195114
12000,12000,36 months,14.27,411.71,C,C2,MORTGAGE,70000.0,Not Verified,Charged Off,other,NY,8.4,0.0,Aug-2005,1.0,7.0,0.0,11546,0,-0.5999166666666667,3,-0.2631425367206348
9000,9000,36 months,12.69,301.91,B,B5,RENT,50000.0,Source Verified,Fully Paid,debt_consolidation,NY,17.81,0.0,Dec-2001,1.0,13.0,0.0,12752,1,0.2076088889926222,3,0.06489985289501865
20000,20000,36 months,13.49,678.61,C,C1,RENT,75000.0,Verified,Fully Paid,debt_consolidation,CA,22.38,0.0,Nov-1998,1.0,7.0,0.0,19548,1,0.19326694206249995,3,0.06066735656380451
11500,11500,36 months,15.27,400.18,C,C4,RENT,36000.0,Not Verified,Fully Paid,debt_consolidation,FL,21.1,0.0,Aug-1998,1.0,7.0,0.0,8969,1,0.2527121733572435,3,0.0779958755999941
13650,13650,36 months,12.42,456.12,B,B4,MORTGAGE,86000.0,Not Verified,Charged Off,debt_consolidation,CA,12.29,0.0,May-1994,1.0,12.0,0.0,16140,0,-0.365130402930403,3,-0.140535037561491
10500,10500,36 months,16.29,370.66,D,D1,RENT,30000.0,Source Verified,Charged Off,debt_consolidation,CA,15.0,0.0,Nov-2007,1.0,7.0,0.0,5379,0,-0.7880228571428572,3,-0.4037482344008857
12000,12000,36 months,9.91,386.7,B,B1,RENT,60000.0,Not Verified,Fully Paid,debt_consolidation,CA,15.5,0.0,Jun-2003,0.0,7.0,0.0,12168,1,0.1600983331092749,3,0.05074726340855795
11500,11500,36 months,15.27,400.18,C,C4,MORTGAGE,44200.0,Verified,Fully Paid,credit_card,CA,21.69,0.0,Aug-2004,1.0,9.0,0.0,13147,1,0.18308963273063483,3,0.0576432846085313
2000,2000,36 months,15.27,69.6,C,C4,RENT,41000.0,Verified,Fully Paid,moving,TX,17.74,0.0,Jun-2004,1.0,7.0,0.0,18115,1,0.26020072792939963,3,0.08013965041707305
15075,15075,36 months,14.27,517.21,C,C2,RENT,35000.0,Verified,Charged Off,debt_consolidation,TX,20.16,0.0,Aug-2000,1.0,7.0,0.0,10570,0,0.06282255389718094,3,0.020517024150396912
12000,12000,36 months,12.42,400.99,B,B4,MORTGAGE,105000.0,Not Verified,Fully Paid,credit_card,TX,13.98,0.0,Nov-1991,1.0,10.0,0.0,11243,1,0.20294583288727508,3,0.06352741820249341
8650,8650,36 months,14.27,296.78,C,C2,MORTGAGE,45000.0,Source Verified,Fully Paid,credit_card,FL,7.6,0.0,May-2005,2.0,14.0,0.0,6602,1,0.23511329444524853,3,0.07292393104519235
21000,11800,60 months,17.27,294.98,D,D3,MORTGAGE,109000.0,Verified,Fully Paid,debt_consolidation,NJ,7.75,0.0,Dec-1973,0.0,9.0,0.0,25435,1,0.49220000280488985,5,0.08334156768754175
16000,16000,60 months,17.27,399.97,D,D3,RENT,50000.0,Source Verified,Fully Paid,debt_consolidation,TX,11.04,0.0,May-2001,0.0,10.0,0.0,15788,1,0.49987421534923127,5,0.08445358260052815
12000,12000,36 months,12.42,400.99,B,B4,RENT,83000.0,Not Verified,Fully Paid,debt_consolidation,CA,11.81,0.0,Aug-2001,2.0,14.0,0.0,16550,1,0.20294583296846658,3,0.0635274182264205
9500,9500,36 months,12.69,318.68,B,B5,MORTGAGE,52500.0,Source Verified,Charged Off,moving,CA,23.54,0.0,Jul-1999,2.0,14.0,0.0,23729,0,-0.26107789473684206,3,-0.0959352150551872
14400,14400,36 months,13.49,488.6,C,C1,MORTGAGE,60000.0,Not Verified,Fully Paid,debt_consolidation,FL,16.92,0.0,Mar-1996,1.0,15.0,0.0,23317,1,0.07323570937868751,3,0.023839085209467425
4000,4000,36 months,7.51,124.45,A,A3,RENT,65000.0,Source Verified,Fully Paid,major_purchase,CA,18.17,0.0,Oct-2002,0.0,10.0,0.0,10032,1,0.04565939027487498,3,0.014993857380663389
1500,1500,36 months,17.27,53.69,D,D3,MORTGAGE,144000.0,Verified,Fully Paid,debt_consolidation,CA,8.23,1.0,Dec-1996,0.0,6.0,0.0,14186,1,0.014399999999999968,3,0.004777142569006854
19600,19600,36 months,12.42,654.94,B,B4,RENT,75000.0,Verified,Fully Paid,credit_card,NY,11.62,0.0,Sep-2006,0.0,8.0,0.0,20355,1,0.1222682301047755,3,0.0391994054637852
